source_id,organization_name,country_region,category,primary_domains,official_site_url,official_newsroom_url,official_blog_url,research_url,developer_blog_url,release_notes_url,github_org_url,rss_atom_url,machine_access,primary_monitor_url,primary_monitor_rationale,primary_language,update_frequency,ai_gaiden_relevance,tech_gaiden_relevance,priority,update_detection,automation_ease,notes,last_verified
cloudflare,Cloudflare,米国,クラウド／AIインフラ,ネットワーク、AI推論、開発基盤、セキュリティ,https://www.cloudflare.com/,https://www.cloudflare.com/press/,https://blog.cloudflare.com/,,https://developers.cloudflare.com/,https://developers.cloudflare.com/changelog/,https://github.com/cloudflare,,https://api.github.com/orgs/cloudflare/repos?per_page=100&sort=updated,https://www.cloudflare.com/press/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,日次〜週次,高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
vercel,Vercel,米国,クラウド／AIインフラ,Web基盤、AI SDK、フロントエンドクラウド,https://vercel.com/,https://vercel.com/blog,https://vercel.com/blog,,https://vercel.com/guides,https://vercel.com/changelog,https://github.com/vercel,,https://api.github.com/orgs/vercel/repos?per_page=100&sort=updated,https://vercel.com/blog,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
netlify,Netlify,米国,クラウド／AIインフラ,Web基盤、開発者プラットフォーム,https://www.netlify.com/,https://www.netlify.com/blog/,https://www.netlify.com/blog/,,https://www.netlify.com/blog/,https://www.netlify.com/changelog/,https://github.com/netlify,,https://api.github.com/orgs/netlify/repos?per_page=100&sort=updated,https://www.netlify.com/blog/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,中,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
oracle-cloud,Oracle Cloud Infrastructure,米国,クラウド／AIインフラ,クラウド、データベース、企業向けAI,https://www.oracle.com/cloud/,https://www.oracle.com/news/,https://blogs.oracle.com/,,https://blogs.oracle.com/developers/,https://docs.oracle.com/en/cloud/,https://github.com/oracle,,https://api.github.com/orgs/oracle/repos?per_page=100&sort=updated,https://www.oracle.com/news/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,中,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
ibm-cloud,IBM,米国,クラウド／AIインフラ,watsonx、ハイブリッドクラウド、量子,https://www.ibm.com/,https://newsroom.ibm.com/,https://www.ibm.com/think,https://research.ibm.com/,https://developer.ibm.com/,,https://github.com/IBM,,https://api.github.com/orgs/IBM/repos?per_page=100&sort=updated,https://newsroom.ibm.com/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
databricks,Databricks,米国,クラウド／AIインフラ,データ、AI、分析、MLOps,https://www.databricks.com/,https://www.databricks.com/company/newsroom,https://www.databricks.com/blog,https://www.databricks.com/research,https://www.databricks.com/blog/category/engineering,https://docs.databricks.com/release-notes/index.html,https://github.com/databricks,,https://api.github.com/orgs/databricks/repos?per_page=100&sort=updated,https://www.databricks.com/company/newsroom,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,非常に高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
snowflake,Snowflake,米国,クラウド／AIインフラ,データクラウド、AI、分析,https://www.snowflake.com/,https://www.snowflake.com/en/news/,https://www.snowflake.com/en/blog/,,https://www.snowflake.com/en/blog/,https://docs.snowflake.com/en/release-notes/overview,https://github.com/snowflakedb,,https://api.github.com/orgs/snowflakedb/repos?per_page=100&sort=updated,https://www.snowflake.com/en/news/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
coreweave,CoreWeave,米国,クラウド／AIインフラ,GPUクラウド、AIインフラ,https://www.coreweave.com/,https://www.coreweave.com/news,https://www.coreweave.com/blog,,,,,,,https://www.coreweave.com/news,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
modal,Modal,米国,クラウド／AIインフラ,サーバーレスGPU、AIアプリ実行基盤,https://modal.com/,https://modal.com/blog,https://modal.com/blog,,https://modal.com/docs,https://modal.com/docs/changelog,https://github.com/modal-labs,,https://api.github.com/orgs/modal-labs/repos?per_page=100&sort=updated,https://modal.com/blog,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
github,GitHub,米国,開発者向けサービス,コードホスティング、AI開発、Copilot,https://github.com/,https://github.com/newsroom/,https://github.blog/,,https://github.blog/,https://github.blog/changelog/,https://github.com/github,https://github.blog/ai-and-ml/feed/,https://api.github.com/orgs/github/repos?per_page=100&sort=updated,https://github.blog/ai-and-ml/,公式RSS/Atomを主監視し、分類・詳細確認は対応する公式ページで行う。,英語,日次〜週次,非常に高,非常に高,A,公式RSS/Atom,高,現行AI外電の有効フィードはGitHub BlogのAI & MLカテゴリ。プラットフォーム変更はChangelogを補完監視。,2026-08-18
