source_id,organization_id,organization_name,source_name,source_type,source_url,official,feed_available,feed_url,feed_type,feed_status,update_frequency,language,topic,priority,monitor_tier,machine_fetchability,requires_javascript,notes,verified_at
aws--rss--093,aws,Amazon Web Services,Amazon Web Services — 公式RSS/Atom,rss,https://aws.amazon.com/blogs/machine-learning/feed/,yes,yes,https://aws.amazon.com/blogs/machine-learning/feed/,RSS,confirmed,日次〜週次,英語,クラウド、Bedrock、機械学習、データ,A,P1,rss_atom,no,公式フィードURLとして第1弾の調査で確認済み。現行収集設定への追加可否は別途運用判断する。,2026-08-18
github--rss--177,github,GitHub,GitHub — 公式RSS/Atom,rss,https://github.blog/ai-and-ml/feed/,yes,yes,https://github.blog/ai-and-ml/feed/,RSS,confirmed,日次〜週次,英語,コードホスティング、AI開発、Copilot,A,P1,rss_atom,no,公式フィードURLとして第1弾の調査で確認済み。現行収集設定への追加可否は別途運用判断する。,2026-08-18
hugging-face--github_releases--392,hugging-face,Hugging Face,Hugging Face — Release Notes／Changelog,github_releases,https://github.com/huggingface/transformers/releases,yes,unknown,,,unknown,日次〜週次,英語,モデルハブ、Transformers、データセット、OSS,A,P1,github_releases_api,no,公式主体の発信先。導入前に利用条件・robots.txt・実取得結果を再確認する。,2026-08-18
hugging-face--rss--394,hugging-face,Hugging Face,Hugging Face — 公式RSS/Atom,rss,https://huggingface.co/blog/feed.xml,yes,yes,https://huggingface.co/blog/feed.xml,RSS,confirmed,日次〜週次,英語,モデルハブ、Transformers、データセット、OSS,A,P1,rss_atom,no,公式フィードURLとして第1弾の調査で確認済み。現行収集設定への追加可否は別途運用判断する。,2026-08-18
nvidia--rss--256,nvidia,NVIDIA,NVIDIA — 公式RSS/Atom,rss,https://blogs.nvidia.com/blog/category/deep-learning/feed/,yes,yes,https://blogs.nvidia.com/blog/category/deep-learning/feed/,RSS,confirmed,日次〜週次,英語,GPU、AI計算、ネットワーク、ロボティクス,A,P1,rss_atom,no,公式フィードURLとして第1弾の調査で確認済み。現行収集設定への追加可否は別途運用判断する。,2026-08-18
openai--rss--007,openai,OpenAI,OpenAI — 公式RSS/Atom,rss,https://openai.com/news/rss.xml,yes,yes,https://openai.com/news/rss.xml,RSS,confirmed,日次〜週次,英語,基盤モデル、AIエージェント、API,A,P1,rss_atom,no,公式フィードURLとして第1弾の調査で確認済み。現行収集設定への追加可否は別途運用判断する。,2026-08-18
google-deepmind--rss--018,google-deepmind,Google DeepMind,Google DeepMind — 公式RSS/Atom,rss,https://deepmind.google/blog/rss.xml,yes,yes,https://deepmind.google/blog/rss.xml,RSS,confirmed,週次〜月次,英語,基盤モデル、科学、AI安全性、ロボティクス,A,P1,rss_atom,no,公式フィードURLとして第1弾の調査で確認済み。現行収集設定への追加可否は別途運用判断する。,2026-08-18
langchain--github_releases--434,langchain,LangChain,LangChain — 主監視先,github_releases,https://github.com/langchain-ai/langchain/releases,yes,unknown,,,unknown,週次〜月次,英語,LLMアプリ、AIエージェント、開発フレームワーク,A,P1,github_releases_api,no,主監視先。公式GitHubのRelease・Tagを主監視し、ブログは大型発表の補完に使う。,2026-08-18
microsoft-ai--rss--107,microsoft-ai,Microsoft AI / Azure AI,Microsoft AI / Azure AI — 公式RSS/Atom,rss,https://www.microsoft.com/en-us/microsoft-cloud/blog/feed/,yes,yes,https://www.microsoft.com/en-us/microsoft-cloud/blog/feed/,RSS,confirmed,週次〜月次,英語,Azure AI、Copilot、企業向けAI,A,P1,rss_atom,no,公式フィードURLとして第1弾の調査で確認済み。現行収集設定への追加可否は別途運用判断する。,2026-08-18
mistral-ai--rss--033,mistral-ai,Mistral AI,Mistral AI — 公式RSS/Atom,rss,https://mistral.ai/rss.xml,yes,yes,https://mistral.ai/rss.xml,RSS,confirmed,週次〜月次,英語／フランス語,基盤モデル、企業向けAI、オープンウェイト,A,P1,rss_atom,no,公式フィードURLとして第1弾の調査で確認済み。現行収集設定への追加可否は別途運用判断する。,2026-08-18
