source_id,organization_name,country_region,category,primary_domains,official_site_url,official_newsroom_url,official_blog_url,research_url,developer_blog_url,release_notes_url,github_org_url,rss_atom_url,machine_access,primary_monitor_url,primary_monitor_rationale,primary_language,update_frequency,ai_gaiden_relevance,tech_gaiden_relevance,priority,update_detection,automation_ease,notes,last_verified
cohere,Cohere,カナダ,AIモデル／AIサービス,企業向けLLM、RAG、AIエージェント,https://cohere.com/,https://cohere.com/blog,https://cohere.com/blog,https://cohere.com/research,https://docs.cohere.com/,https://docs.cohere.com/changelog,https://github.com/cohere-ai,https://cohere.com/blog/rss.xml,https://api.github.com/orgs/cohere-ai/repos?per_page=100&sort=updated,https://cohere.com/blog,公式RSS/Atomを主監視し、分類・詳細確認は対応する公式ページで行う。,英語,週次〜月次,高,中,A,公式RSS/Atom,高,現行AI外電の確認済み公式RSS。現行の取得設定では無効化されているため、本台帳のみで管理。,2026-08-18
ai21,AI21 Labs,イスラエル,AIモデル／AIサービス,基盤モデル、企業向け生成AI,https://www.ai21.com/,https://www.ai21.com/blog/,https://www.ai21.com/blog/,,https://docs.ai21.com/,,https://github.com/AI21Labs,,https://api.github.com/orgs/AI21Labs/repos?per_page=100&sort=updated,https://www.ai21.com/blog/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,月次〜不定期,高,中,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
qwen,Qwen（Alibaba Cloud）,中国,AIモデル／AIサービス,オープンウェイトLLM、マルチモーダルAI,https://qwen.ai/,https://qwenlm.github.io/blog/,https://qwenlm.github.io/blog/,,https://help.aliyun.com/zh/model-studio/,,https://github.com/QwenLM,,https://api.github.com/orgs/QwenLM/repos?per_page=100&sort=updated,https://qwenlm.github.io/blog/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,中国語／英語,月次〜不定期,高,中,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
sakana-ai,Sakana AI,日本,AIモデル／AIサービス,自然発想型AI、AI研究,https://sakana.ai/,https://sakana.ai/blog/,https://sakana.ai/blog/,https://sakana.ai/research/,,,https://github.com/SakanaAI,,https://api.github.com/orgs/SakanaAI/repos?per_page=100&sort=updated,https://sakana.ai/blog/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語／日本語,月次〜不定期,高,中,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
stability-ai,Stability AI,英国,AIモデル／AIサービス,画像・音声生成、オープンモデル,https://stability.ai/,https://stability.ai/news,https://stability.ai/news,,,,https://github.com/Stability-AI,,https://api.github.com/orgs/Stability-AI/repos?per_page=100&sort=updated,https://stability.ai/news,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,月次〜不定期,高,中,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
midjourney,Midjourney,米国,AIモデル／AIサービス,画像生成,https://www.midjourney.com/,https://updates.midjourney.com/,https://updates.midjourney.com/,,,,,,,https://updates.midjourney.com/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜不定期,高,中,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
runway,Runway,米国,AIモデル／AIサービス,動画生成、クリエイティブAI,https://runwayml.com/,https://runwayml.com/news/,https://runwayml.com/news/,,https://help.runwayml.com/,,https://github.com/runwayml,,https://api.github.com/orgs/runwayml/repos?per_page=100&sort=updated,https://runwayml.com/news/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
elevenlabs,ElevenLabs,英国／米国,AIモデル／AIサービス,音声生成、音声AI、API,https://elevenlabs.io/,https://elevenlabs.io/blog,https://elevenlabs.io/blog,,https://elevenlabs.io/docs,https://elevenlabs.io/changelog,https://github.com/elevenlabs,,https://api.github.com/orgs/elevenlabs/repos?per_page=100&sort=updated,https://elevenlabs.io/blog,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,中,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
perplexity,Perplexity,米国,AIモデル／AIサービス,AI検索、回答エンジン、ブラウザ,https://www.perplexity.ai/,https://www.perplexity.ai/hub/blog,https://www.perplexity.ai/hub/blog,,https://docs.perplexity.ai/,https://docs.perplexity.ai/changelog,https://github.com/perplexityai,,https://api.github.com/orgs/perplexityai/repos?per_page=100&sort=updated,https://www.perplexity.ai/hub/blog,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
writer,Writer,米国,AIモデル／AIサービス,企業向け生成AI、AIエージェント,https://writer.com/,https://writer.com/blog/,https://writer.com/blog/,,https://dev.writer.com/,,https://github.com/writer,,https://api.github.com/orgs/writer/repos?per_page=100&sort=updated,https://writer.com/blog/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,中,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
oracle-cloud,Oracle Cloud Infrastructure,米国,クラウド／AIインフラ,クラウド、データベース、企業向けAI,https://www.oracle.com/cloud/,https://www.oracle.com/news/,https://blogs.oracle.com/,,https://blogs.oracle.com/developers/,https://docs.oracle.com/en/cloud/,https://github.com/oracle,,https://api.github.com/orgs/oracle/repos?per_page=100&sort=updated,https://www.oracle.com/news/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,中,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
