source_id,organization_name,country_region,category,primary_domains,official_site_url,official_newsroom_url,official_blog_url,research_url,developer_blog_url,release_notes_url,github_org_url,rss_atom_url,machine_access,primary_monitor_url,primary_monitor_rationale,primary_language,update_frequency,ai_gaiden_relevance,tech_gaiden_relevance,priority,update_detection,automation_ease,notes,last_verified
openai,OpenAI,米国,AIモデル／AIサービス,基盤モデル、AIエージェント、API,https://openai.com/,https://openai.com/news/,https://openai.com/news/,https://openai.com/research/,https://developers.openai.com/,https://platform.openai.com/docs/changelog,https://github.com/openai,https://openai.com/news/rss.xml,https://api.github.com/orgs/openai/repos?per_page=100&sort=updated,https://openai.com/news/,公式RSS/Atomを主監視し、分類・詳細確認は対応する公式ページで行う。,英語,日次〜週次,非常に高,高,A,公式RSS/Atom,高,現行AI外電の有効フィード。Newsを主、API変更はChangelogを補完監視。,2026-08-18
anthropic,Anthropic,米国,AIモデル／AIサービス,基盤モデル、AI安全性、エージェント,https://www.anthropic.com/,https://www.anthropic.com/news,https://www.anthropic.com/news,https://www.anthropic.com/research,https://www.anthropic.com/engineering,https://docs.anthropic.com/en/release-notes/overview,https://github.com/anthropics,,https://api.github.com/orgs/anthropics/repos?per_page=100&sort=updated,https://www.anthropic.com/news,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,非常に高,高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
google-deepmind,Google DeepMind,英国／米国,AIモデル／AIサービス,基盤モデル、科学、AI安全性、ロボティクス,https://deepmind.google/,https://deepmind.google/blog/,https://deepmind.google/blog/,https://deepmind.google/research/,,,https://github.com/google-deepmind,https://deepmind.google/blog/rss.xml,https://api.github.com/orgs/google-deepmind/repos?per_page=100&sort=updated,https://deepmind.google/blog/,公式RSS/Atomを主監視し、分類・詳細確認は対応する公式ページで行う。,英語,週次〜月次,非常に高,高,A,公式RSS/Atom,高,現行AI外電の有効フィード。Newsを主、Google ResearchとGoogle AIは別レコードで補完。,2026-08-18
meta-ai,Meta AI,米国,AIモデル／AIサービス,オープンモデル、生成AI、XR,https://ai.meta.com/,https://about.fb.com/news/,https://ai.meta.com/blog/,https://ai.meta.com/research/,https://developers.facebook.com/blog/,,https://github.com/meta-llama,,https://api.github.com/orgs/meta-llama/repos?per_page=100&sort=updated,https://about.fb.com/news/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,非常に高,高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
mistral-ai,Mistral AI,フランス,AIモデル／AIサービス,基盤モデル、企業向けAI、オープンウェイト,https://mistral.ai/,https://mistral.ai/news/,https://mistral.ai/news/,,https://docs.mistral.ai/,https://docs.mistral.ai/release-notes/,https://github.com/mistralai,https://mistral.ai/rss.xml,https://api.github.com/orgs/mistralai/repos?per_page=100&sort=updated,https://mistral.ai/news/,公式RSS/Atomを主監視し、分類・詳細確認は対応する公式ページで行う。,英語／フランス語,週次〜月次,非常に高,高,A,公式RSS/Atom,高,現行AI外電の有効フィード。公式RSSを優先。,2026-08-18
deepseek,DeepSeek,中国,AIモデル／AIサービス,オープンウェイトLLM、推論モデル,https://www.deepseek.com/,https://api-docs.deepseek.com/news/news,https://api-docs.deepseek.com/news/news,,https://api-docs.deepseek.com/,,https://github.com/deepseek-ai,,https://api.github.com/orgs/deepseek-ai/repos?per_page=100&sort=updated,https://api-docs.deepseek.com/news/news,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,中国語／英語,不定期,非常に高,中,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
aws,Amazon Web Services,米国,クラウド／AIインフラ,クラウド、Bedrock、機械学習、データ,https://aws.amazon.com/,https://press.aboutamazon.com/aws,https://aws.amazon.com/blogs/machine-learning/,https://www.amazon.science/,https://aws.amazon.com/blogs/developer/,https://docs.aws.amazon.com/bedrock/latest/userguide/doc-history.html,https://github.com/aws,https://aws.amazon.com/blogs/machine-learning/feed/,https://api.github.com/orgs/aws/repos?per_page=100&sort=updated,https://press.aboutamazon.com/aws,公式RSS/Atomを主監視し、分類・詳細確認は対応する公式ページで行う。,英語,日次〜週次,非常に高,非常に高,A,公式RSS/Atom,高,現行AI外電の有効フィード。AWS ML BlogのRSSを主監視。,2026-08-18
google-cloud,Google Cloud,米国,クラウド／AIインフラ,クラウド、Vertex AI、データ、セキュリティ,https://cloud.google.com/,https://cloud.google.com/press,https://cloud.google.com/blog,https://research.google/,https://developers.googleblog.com/,https://docs.cloud.google.com/vertex-ai/docs/release-notes,https://github.com/GoogleCloudPlatform,,https://api.github.com/orgs/GoogleCloudPlatform/repos?per_page=100&sort=updated,https://cloud.google.com/press,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,日次〜週次,非常に高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
microsoft-ai,Microsoft AI / Azure AI,米国,クラウド／AIインフラ,Azure AI、Copilot、企業向けAI,https://www.microsoft.com/ai,https://news.microsoft.com/,https://www.microsoft.com/en-us/ai/blog/,https://www.microsoft.com/en-us/research/,https://devblogs.microsoft.com/,https://learn.microsoft.com/en-us/azure/ai-services/release-notes,https://github.com/Azure,https://www.microsoft.com/en-us/ai/blog/feed,https://api.github.com/orgs/Azure/repos?per_page=100&sort=updated,https://news.microsoft.com/,公式RSS/Atomを主監視し、分類・詳細確認は対応する公式ページで行う。,英語,週次〜月次,非常に高,非常に高,A,公式RSS/Atom,高,現行AI外電の有効フィード。Microsoft AI BlogのRSSを主監視。,2026-08-18
nvidia,NVIDIA,米国,半導体／AIハードウェア,GPU、AI計算、ネットワーク、ロボティクス,https://www.nvidia.com/,https://nvidianews.nvidia.com/,https://developer.nvidia.com/blog/,https://research.nvidia.com/,https://developer.nvidia.com/blog/,,https://github.com/NVIDIA,https://blogs.nvidia.com/blog/category/deep-learning/feed/,https://api.github.com/orgs/NVIDIA/repos?per_page=100&sort=updated,https://blogs.nvidia.com/blog/category/deep-learning/,公式RSS/Atomを主監視し、分類・詳細確認は対応する公式ページで行う。,英語,日次〜週次,非常に高,非常に高,A,公式RSS/Atom,高,現行AI外電の有効フィード。深層学習カテゴリRSSを主監視、NVIDIA公式RSS案内ページも確認済み。,2026-08-18
